"state","first_cep_sy_end","source"
"GA",2014,"added SY 2013-14: Florida, Georgia, Maryland, and Massachusetts (FR: school year beginning July 1, 2013). USDA FNS, Community Eligibility Provision Evaluation (Summary), Office of Policy Support, February 2014: https://www.fns.usda.gov/sites/default/files/CEPEvaluation_Summary.pdf (accessed 2026-09-11) | USDA FNS, proposed rule 'Eliminating Applications Through Community Eligibility', 78 FR 65890-65891, Nov 4, 2013: https://www.govinfo.gov/content/pkg/FR-2013-11-04/pdf/2013-25922.pdf (accessed 2026-09-11)"
"HI",2015,"nationwide from SY 2014-15 (FR: school year beginning July 1, 2014). USDA FNS, Community Eligibility Provision Evaluation (Summary), Office of Policy Support, February 2014: https://www.fns.usda.gov/sites/default/files/CEPEvaluation_Summary.pdf (accessed 2026-09-11) | USDA FNS, proposed rule 'Eliminating Applications Through Community Eligibility', 78 FR 65890-65891, Nov 4, 2013: https://www.govinfo.gov/content/pkg/FR-2013-11-04/pdf/2013-25922.pdf (accessed 2026-09-11)"
"IA",2015,"nationwide from SY 2014-15 (FR: school year beginning July 1, 2014). USDA FNS, Community Eligibility Provision Evaluation (Summary), Office of Policy Support, February 2014: https://www.fns.usda.gov/sites/default/files/CEPEvaluation_Summary.pdf (accessed 2026-09-11) | USDA FNS, proposed rule 'Eliminating Applications Through Community Eligibility', 78 FR 65890-65891, Nov 4, 2013: https://www.govinfo.gov/content/pkg/FR-2013-11-04/pdf/2013-25922.pdf (accessed 2026-09-11)"
"ID",2015,"nationwide from SY 2014-15 (FR: school year beginning July 1, 2014). USDA FNS, Community Eligibility Provision Evaluation (Summary), Office of Policy Support, February 2014: https://www.fns.usda.gov/sites/default/files/CEPEvaluation_Summary.pdf (accessed 2026-09-11) | USDA FNS, proposed rule 'Eliminating Applications Through Community Eligibility', 78 FR 65890-65891, Nov 4, 2013: https://www.govinfo.gov/content/pkg/FR-2013-11-04/pdf/2013-25922.pdf (accessed 2026-09-11)"
"IL",2012,"SY 2011-12 pilot: Illinois, Kentucky, and Michigan (FR: school year beginning July 1, 2011). USDA FNS, Community Eligibility Provision Evaluation (Summary), Office of Policy Support, February 2014: https://www.fns.usda.gov/sites/default/files/CEPEvaluation_Summary.pdf (accessed 2026-09-11) | USDA FNS, proposed rule 'Eliminating Applications Through Community Eligibility', 78 FR 65890-65891, Nov 4, 2013: https://www.govinfo.gov/content/pkg/FR-2013-11-04/pdf/2013-25922.pdf (accessed 2026-09-11)"
"IN",2015,"nationwide from SY 2014-15 (FR: school year beginning July 1, 2014). USDA FNS, Community Eligibility Provision Evaluation (Summary), Office of Policy Support, February 2014: https://www.fns.usda.gov/sites/default/files/CEPEvaluation_Summary.pdf (accessed 2026-09-11) | USDA FNS, proposed rule 'Eliminating Applications Through Community Eligibility', 78 FR 65890-65891, Nov 4, 2013: https://www.govinfo.gov/content/pkg/FR-2013-11-04/pdf/2013-25922.pdf (accessed 2026-09-11)"
"KS",2015,"nationwide from SY 2014-15 (FR: school year beginning July 1, 2014). USDA FNS, Community Eligibility Provision Evaluation (Summary), Office of Policy Support, February 2014: https://www.fns.usda.gov/sites/default/files/CEPEvaluation_Summary.pdf (accessed 2026-09-11) | USDA FNS, proposed rule 'Eliminating Applications Through Community Eligibility', 78 FR 65890-65891, Nov 4, 2013: https://www.govinfo.gov/content/pkg/FR-2013-11-04/pdf/2013-25922.pdf (accessed 2026-09-11)"
"KY",2012,"SY 2011-12 pilot: Illinois, Kentucky, and Michigan (FR: school year beginning July 1, 2011). USDA FNS, Community Eligibility Provision Evaluation (Summary), Office of Policy Support, February 2014: https://www.fns.usda.gov/sites/default/files/CEPEvaluation_Summary.pdf (accessed 2026-09-11) | USDA FNS, proposed rule 'Eliminating Applications Through Community Eligibility', 78 FR 65890-65891, Nov 4, 2013: https://www.govinfo.gov/content/pkg/FR-2013-11-04/pdf/2013-25922.pdf (accessed 2026-09-11)"
"LA",2015,"nationwide from SY 2014-15 (FR: school year beginning July 1, 2014). USDA FNS, Community Eligibility Provision Evaluation (Summary), Office of Policy Support, February 2014: https://www.fns.usda.gov/sites/default/files/CEPEvaluation_Summary.pdf (accessed 2026-09-11) | USDA FNS, proposed rule 'Eliminating Applications Through Community Eligibility', 78 FR 65890-65891, Nov 4, 2013: https://www.govinfo.gov/content/pkg/FR-2013-11-04/pdf/2013-25922.pdf (accessed 2026-09-11)"
"MA",2014,"added SY 2013-14: Florida, Georgia, Maryland, and Massachusetts (FR: school year beginning July 1, 2013). USDA FNS, Community Eligibility Provision Evaluation (Summary), Office of Policy Support, February 2014: https://www.fns.usda.gov/sites/default/files/CEPEvaluation_Summary.pdf (accessed 2026-09-11) | USDA FNS, proposed rule 'Eliminating Applications Through Community Eligibility', 78 FR 65890-65891, Nov 4, 2013: https://www.govinfo.gov/content/pkg/FR-2013-11-04/pdf/2013-25922.pdf (accessed 2026-09-11)"
"MD",2014,"added SY 2013-14: Florida, Georgia, Maryland, and Massachusetts (FR: school year beginning July 1, 2013). USDA FNS, Community Eligibility Provision Evaluation (Summary), Office of Policy Support, February 2014: https://www.fns.usda.gov/sites/default/files/CEPEvaluation_Summary.pdf (accessed 2026-09-11) | USDA FNS, proposed rule 'Eliminating Applications Through Community Eligibility', 78 FR 65890-65891, Nov 4, 2013: https://www.govinfo.gov/content/pkg/FR-2013-11-04/pdf/2013-25922.pdf (accessed 2026-09-11)"
"ME",2015,"nationwide from SY 2014-15 (FR: school year beginning July 1, 2014). USDA FNS, Community Eligibility Provision Evaluation (Summary), Office of Policy Support, February 2014: https://www.fns.usda.gov/sites/default/files/CEPEvaluation_Summary.pdf (accessed 2026-09-11) | USDA FNS, proposed rule 'Eliminating Applications Through Community Eligibility', 78 FR 65890-65891, Nov 4, 2013: https://www.govinfo.gov/content/pkg/FR-2013-11-04/pdf/2013-25922.pdf (accessed 2026-09-11)"
"MI",2012,"SY 2011-12 pilot: Illinois, Kentucky, and Michigan (FR: school year beginning July 1, 2011). USDA FNS, Community Eligibility Provision Evaluation (Summary), Office of Policy Support, February 2014: https://www.fns.usda.gov/sites/default/files/CEPEvaluation_Summary.pdf (accessed 2026-09-11) | USDA FNS, proposed rule 'Eliminating Applications Through Community Eligibility', 78 FR 65890-65891, Nov 4, 2013: https://www.govinfo.gov/content/pkg/FR-2013-11-04/pdf/2013-25922.pdf (accessed 2026-09-11)"
"MN",2015,"nationwide from SY 2014-15 (FR: school year beginning July 1, 2014). USDA FNS, Community Eligibility Provision Evaluation (Summary), Office of Policy Support, February 2014: https://www.fns.usda.gov/sites/default/files/CEPEvaluation_Summary.pdf (accessed 2026-09-11) | USDA FNS, proposed rule 'Eliminating Applications Through Community Eligibility', 78 FR 65890-65891, Nov 4, 2013: https://www.govinfo.gov/content/pkg/FR-2013-11-04/pdf/2013-25922.pdf (accessed 2026-09-11)"
"MO",2015,"nationwide from SY 2014-15 (FR: school year beginning July 1, 2014). USDA FNS, Community Eligibility Provision Evaluation (Summary), Office of Policy Support, February 2014: https://www.fns.usda.gov/sites/default/files/CEPEvaluation_Summary.pdf (accessed 2026-09-11) | USDA FNS, proposed rule 'Eliminating Applications Through Community Eligibility', 78 FR 65890-65891, Nov 4, 2013: https://www.govinfo.gov/content/pkg/FR-2013-11-04/pdf/2013-25922.pdf (accessed 2026-09-11)"
"MS",2015,"nationwide from SY 2014-15 (FR: school year beginning July 1, 2014). USDA FNS, Community Eligibility Provision Evaluation (Summary), Office of Policy Support, February 2014: https://www.fns.usda.gov/sites/default/files/CEPEvaluation_Summary.pdf (accessed 2026-09-11) | USDA FNS, proposed rule 'Eliminating Applications Through Community Eligibility', 78 FR 65890-65891, Nov 4, 2013: https://www.govinfo.gov/content/pkg/FR-2013-11-04/pdf/2013-25922.pdf (accessed 2026-09-11)"
"MT",2015,"nationwide from SY 2014-15 (FR: school year beginning July 1, 2014). USDA FNS, Community Eligibility Provision Evaluation (Summary), Office of Policy Support, February 2014: https://www.fns.usda.gov/sites/default/files/CEPEvaluation_Summary.pdf (accessed 2026-09-11) | USDA FNS, proposed rule 'Eliminating Applications Through Community Eligibility', 78 FR 65890-65891, Nov 4, 2013: https://www.govinfo.gov/content/pkg/FR-2013-11-04/pdf/2013-25922.pdf (accessed 2026-09-11)"
"NC",2015,"nationwide from SY 2014-15 (FR: school year beginning July 1, 2014). USDA FNS, Community Eligibility Provision Evaluation (Summary), Office of Policy Support, February 2014: https://www.fns.usda.gov/sites/default/files/CEPEvaluation_Summary.pdf (accessed 2026-09-11) | USDA FNS, proposed rule 'Eliminating Applications Through Community Eligibility', 78 FR 65890-65891, Nov 4, 2013: https://www.govinfo.gov/content/pkg/FR-2013-11-04/pdf/2013-25922.pdf (accessed 2026-09-11)"
"ND",2015,"nationwide from SY 2014-15 (FR: school year beginning July 1, 2014). USDA FNS, Community Eligibility Provision Evaluation (Summary), Office of Policy Support, February 2014: https://www.fns.usda.gov/sites/default/files/CEPEvaluation_Summary.pdf (accessed 2026-09-11) | USDA FNS, proposed rule 'Eliminating Applications Through Community Eligibility', 78 FR 65890-65891, Nov 4, 2013: https://www.govinfo.gov/content/pkg/FR-2013-11-04/pdf/2013-25922.pdf (accessed 2026-09-11)"
"NE",2015,"nationwide from SY 2014-15 (FR: school year beginning July 1, 2014). USDA FNS, Community Eligibility Provision Evaluation (Summary), Office of Policy Support, February 2014: https://www.fns.usda.gov/sites/default/files/CEPEvaluation_Summary.pdf (accessed 2026-09-11) | USDA FNS, proposed rule 'Eliminating Applications Through Community Eligibility', 78 FR 65890-65891, Nov 4, 2013: https://www.govinfo.gov/content/pkg/FR-2013-11-04/pdf/2013-25922.pdf (accessed 2026-09-11)"
"NH",2015,"nationwide from SY 2014-15 (FR: school year beginning July 1, 2014). USDA FNS, Community Eligibility Provision Evaluation (Summary), Office of Policy Support, February 2014: https://www.fns.usda.gov/sites/default/files/CEPEvaluation_Summary.pdf (accessed 2026-09-11) | USDA FNS, proposed rule 'Eliminating Applications Through Community Eligibility', 78 FR 65890-65891, Nov 4, 2013: https://www.govinfo.gov/content/pkg/FR-2013-11-04/pdf/2013-25922.pdf (accessed 2026-09-11)"
"NJ",2015,"nationwide from SY 2014-15 (FR: school year beginning July 1, 2014). USDA FNS, Community Eligibility Provision Evaluation (Summary), Office of Policy Support, February 2014: https://www.fns.usda.gov/sites/default/files/CEPEvaluation_Summary.pdf (accessed 2026-09-11) | USDA FNS, proposed rule 'Eliminating Applications Through Community Eligibility', 78 FR 65890-65891, Nov 4, 2013: https://www.govinfo.gov/content/pkg/FR-2013-11-04/pdf/2013-25922.pdf (accessed 2026-09-11)"
"NM",2015,"nationwide from SY 2014-15 (FR: school year beginning July 1, 2014). USDA FNS, Community Eligibility Provision Evaluation (Summary), Office of Policy Support, February 2014: https://www.fns.usda.gov/sites/default/files/CEPEvaluation_Summary.pdf (accessed 2026-09-11) | USDA FNS, proposed rule 'Eliminating Applications Through Community Eligibility', 78 FR 65890-65891, Nov 4, 2013: https://www.govinfo.gov/content/pkg/FR-2013-11-04/pdf/2013-25922.pdf (accessed 2026-09-11)"
"NV",2015,"nationwide from SY 2014-15 (FR: school year beginning July 1, 2014). USDA FNS, Community Eligibility Provision Evaluation (Summary), Office of Policy Support, February 2014: https://www.fns.usda.gov/sites/default/files/CEPEvaluation_Summary.pdf (accessed 2026-09-11) | USDA FNS, proposed rule 'Eliminating Applications Through Community Eligibility', 78 FR 65890-65891, Nov 4, 2013: https://www.govinfo.gov/content/pkg/FR-2013-11-04/pdf/2013-25922.pdf (accessed 2026-09-11)"
"NY",2013,"added SY 2012-13: District of Columbia, New York, Ohio, and West Virginia (FR: school year beginning July 1, 2012). USDA FNS, Community Eligibility Provision Evaluation (Summary), Office of Policy Support, February 2014: https://www.fns.usda.gov/sites/default/files/CEPEvaluation_Summary.pdf (accessed 2026-09-11) | USDA FNS, proposed rule 'Eliminating Applications Through Community Eligibility', 78 FR 65890-65891, Nov 4, 2013: https://www.govinfo.gov/content/pkg/FR-2013-11-04/pdf/2013-25922.pdf (accessed 2026-09-11)"
"OH",2013,"added SY 2012-13: District of Columbia, New York, Ohio, and West Virginia (FR: school year beginning July 1, 2012). USDA FNS, Community Eligibility Provision Evaluation (Summary), Office of Policy Support, February 2014: https://www.fns.usda.gov/sites/default/files/CEPEvaluation_Summary.pdf (accessed 2026-09-11) | USDA FNS, proposed rule 'Eliminating Applications Through Community Eligibility', 78 FR 65890-65891, Nov 4, 2013: https://www.govinfo.gov/content/pkg/FR-2013-11-04/pdf/2013-25922.pdf (accessed 2026-09-11)"
"OK",2015,"nationwide from SY 2014-15 (FR: school year beginning July 1, 2014). USDA FNS, Community Eligibility Provision Evaluation (Summary), Office of Policy Support, February 2014: https://www.fns.usda.gov/sites/default/files/CEPEvaluation_Summary.pdf (accessed 2026-09-11) | USDA FNS, proposed rule 'Eliminating Applications Through Community Eligibility', 78 FR 65890-65891, Nov 4, 2013: https://www.govinfo.gov/content/pkg/FR-2013-11-04/pdf/2013-25922.pdf (accessed 2026-09-11)"
"OR",2015,"nationwide from SY 2014-15 (FR: school year beginning July 1, 2014). USDA FNS, Community Eligibility Provision Evaluation (Summary), Office of Policy Support, February 2014: https://www.fns.usda.gov/sites/default/files/CEPEvaluation_Summary.pdf (accessed 2026-09-11) | USDA FNS, proposed rule 'Eliminating Applications Through Community Eligibility', 78 FR 65890-65891, Nov 4, 2013: https://www.govinfo.gov/content/pkg/FR-2013-11-04/pdf/2013-25922.pdf (accessed 2026-09-11)"
"PA",2015,"nationwide from SY 2014-15 (FR: school year beginning July 1, 2014). USDA FNS, Community Eligibility Provision Evaluation (Summary), Office of Policy Support, February 2014: https://www.fns.usda.gov/sites/default/files/CEPEvaluation_Summary.pdf (accessed 2026-09-11) | USDA FNS, proposed rule 'Eliminating Applications Through Community Eligibility', 78 FR 65890-65891, Nov 4, 2013: https://www.govinfo.gov/content/pkg/FR-2013-11-04/pdf/2013-25922.pdf (accessed 2026-09-11)"
"RI",2015,"nationwide from SY 2014-15 (FR: school year beginning July 1, 2014). USDA FNS, Community Eligibility Provision Evaluation (Summary), Office of Policy Support, February 2014: https://www.fns.usda.gov/sites/default/files/CEPEvaluation_Summary.pdf (accessed 2026-09-11) | USDA FNS, proposed rule 'Eliminating Applications Through Community Eligibility', 78 FR 65890-65891, Nov 4, 2013: https://www.govinfo.gov/content/pkg/FR-2013-11-04/pdf/2013-25922.pdf (accessed 2026-09-11)"
"SC",2015,"nationwide from SY 2014-15 (FR: school year beginning July 1, 2014). USDA FNS, Community Eligibility Provision Evaluation (Summary), Office of Policy Support, February 2014: https://www.fns.usda.gov/sites/default/files/CEPEvaluation_Summary.pdf (accessed 2026-09-11) | USDA FNS, proposed rule 'Eliminating Applications Through Community Eligibility', 78 FR 65890-65891, Nov 4, 2013: https://www.govinfo.gov/content/pkg/FR-2013-11-04/pdf/2013-25922.pdf (accessed 2026-09-11)"
"SD",2015,"nationwide from SY 2014-15 (FR: school year beginning July 1, 2014). USDA FNS, Community Eligibility Provision Evaluation (Summary), Office of Policy Support, February 2014: https://www.fns.usda.gov/sites/default/files/CEPEvaluation_Summary.pdf (accessed 2026-09-11) | USDA FNS, proposed rule 'Eliminating Applications Through Community Eligibility', 78 FR 65890-65891, Nov 4, 2013: https://www.govinfo.gov/content/pkg/FR-2013-11-04/pdf/2013-25922.pdf (accessed 2026-09-11)"
"TN",2015,"nationwide from SY 2014-15 (FR: school year beginning July 1, 2014). USDA FNS, Community Eligibility Provision Evaluation (Summary), Office of Policy Support, February 2014: https://www.fns.usda.gov/sites/default/files/CEPEvaluation_Summary.pdf (accessed 2026-09-11) | USDA FNS, proposed rule 'Eliminating Applications Through Community Eligibility', 78 FR 65890-65891, Nov 4, 2013: https://www.govinfo.gov/content/pkg/FR-2013-11-04/pdf/2013-25922.pdf (accessed 2026-09-11)"
"TX",2015,"nationwide from SY 2014-15 (FR: school year beginning July 1, 2014). USDA FNS, Community Eligibility Provision Evaluation (Summary), Office of Policy Support, February 2014: https://www.fns.usda.gov/sites/default/files/CEPEvaluation_Summary.pdf (accessed 2026-09-11) | USDA FNS, proposed rule 'Eliminating Applications Through Community Eligibility', 78 FR 65890-65891, Nov 4, 2013: https://www.govinfo.gov/content/pkg/FR-2013-11-04/pdf/2013-25922.pdf (accessed 2026-09-11)"
"UT",2015,"nationwide from SY 2014-15 (FR: school year beginning July 1, 2014). USDA FNS, Community Eligibility Provision Evaluation (Summary), Office of Policy Support, February 2014: https://www.fns.usda.gov/sites/default/files/CEPEvaluation_Summary.pdf (accessed 2026-09-11) | USDA FNS, proposed rule 'Eliminating Applications Through Community Eligibility', 78 FR 65890-65891, Nov 4, 2013: https://www.govinfo.gov/content/pkg/FR-2013-11-04/pdf/2013-25922.pdf (accessed 2026-09-11)"
"VA",2015,"nationwide from SY 2014-15 (FR: school year beginning July 1, 2014). USDA FNS, Community Eligibility Provision Evaluation (Summary), Office of Policy Support, February 2014: https://www.fns.usda.gov/sites/default/files/CEPEvaluation_Summary.pdf (accessed 2026-09-11) | USDA FNS, proposed rule 'Eliminating Applications Through Community Eligibility', 78 FR 65890-65891, Nov 4, 2013: https://www.govinfo.gov/content/pkg/FR-2013-11-04/pdf/2013-25922.pdf (accessed 2026-09-11)"
"VT",2015,"nationwide from SY 2014-15 (FR: school year beginning July 1, 2014). USDA FNS, Community Eligibility Provision Evaluation (Summary), Office of Policy Support, February 2014: https://www.fns.usda.gov/sites/default/files/CEPEvaluation_Summary.pdf (accessed 2026-09-11) | USDA FNS, proposed rule 'Eliminating Applications Through Community Eligibility', 78 FR 65890-65891, Nov 4, 2013: https://www.govinfo.gov/content/pkg/FR-2013-11-04/pdf/2013-25922.pdf (accessed 2026-09-11)"
"WA",2015,"nationwide from SY 2014-15 (FR: school year beginning July 1, 2014). USDA FNS, Community Eligibility Provision Evaluation (Summary), Office of Policy Support, February 2014: https://www.fns.usda.gov/sites/default/files/CEPEvaluation_Summary.pdf (accessed 2026-09-11) | USDA FNS, proposed rule 'Eliminating Applications Through Community Eligibility', 78 FR 65890-65891, Nov 4, 2013: https://www.govinfo.gov/content/pkg/FR-2013-11-04/pdf/2013-25922.pdf (accessed 2026-09-11)"
"WI",2015,"nationwide from SY 2014-15 (FR: school year beginning July 1, 2014). USDA FNS, Community Eligibility Provision Evaluation (Summary), Office of Policy Support, February 2014: https://www.fns.usda.gov/sites/default/files/CEPEvaluation_Summary.pdf (accessed 2026-09-11) | USDA FNS, proposed rule 'Eliminating Applications Through Community Eligibility', 78 FR 65890-65891, Nov 4, 2013: https://www.govinfo.gov/content/pkg/FR-2013-11-04/pdf/2013-25922.pdf (accessed 2026-09-11)"
"WV",2013,"added SY 2012-13: District of Columbia, New York, Ohio, and West Virginia (FR: school year beginning July 1, 2012). USDA FNS, Community Eligibility Provision Evaluation (Summary), Office of Policy Support, February 2014: https://www.fns.usda.gov/sites/default/files/CEPEvaluation_Summary.pdf (accessed 2026-09-11) | USDA FNS, proposed rule 'Eliminating Applications Through Community Eligibility', 78 FR 65890-65891, Nov 4, 2013: https://www.govinfo.gov/content/pkg/FR-2013-11-04/pdf/2013-25922.pdf (accessed 2026-09-11)"
"WY",2015,"nationwide from SY 2014-15 (FR: school year beginning July 1, 2014). USDA FNS, Community Eligibility Provision Evaluation (Summary), Office of Policy Support, February 2014: https://www.fns.usda.gov/sites/default/files/CEPEvaluation_Summary.pdf (accessed 2026-09-11) | USDA FNS, proposed rule 'Eliminating Applications Through Community Eligibility', 78 FR 65890-65891, Nov 4, 2013: https://www.govinfo.gov/content/pkg/FR-2013-11-04/pdf/2013-25922.pdf (accessed 2026-09-11)"
