state,st_id,name,leaid,method,ccd_st_leaid,ccd_name,ccd_sy_end,author_check
AL,047,Marion County,0102310,st_leaid,047,Marion County,2024,
AL,048,Marshall County,0100006,st_leaid,048,Marshall County,2024,
AL,049,Mobile County,0102370,st_leaid,049,Mobile County,2024,
AL,050,Monroe County,0102400,st_leaid,050,Monroe County,2024,
AL,051,Montgomery County,0102430,st_leaid,051,Montgomery County,2024,
AL,052,Morgan County,0102480,st_leaid,052,Morgan County,2024,
AL,053,Perry County,0102670,st_leaid,053,Perry County,2024,
AL,054,Pickens County,0102730,st_leaid,054,Pickens County,2024,
AL,055,Pike County,0102790,st_leaid,055,Pike County,2024,
AL,056,Randolph County,0102820,st_leaid,056,Randolph County,2024,
AL,057,Russell County,0102880,st_leaid,057,Russell County,2024,
AL,058,St Clair County,0103062,st_leaid,058,St Clair County,2024,
AL,059,Shelby County,0103030,st_leaid,059,Shelby County,2024,
AL,060,Sumter County,0103090,st_leaid,060,Sumter County,2024,
AL,061,Talladega County,0103180,st_leaid,061,Talladega County,2024,
AL,062,Tallapoosa County,0103210,st_leaid,062,Tallapoosa County,2024,
AL,063,Tuscaloosa County,0103390,st_leaid,063,Tuscaloosa County,2024,
AL,064,Walker County,0103450,st_leaid,064,Walker County,2024,
AL,065,Washington County,0103480,st_leaid,065,Washington County,2024,
AL,066,Wilcox County,0103510,st_leaid,066,Wilcox County,2024,
AL,067,Winston County,0103580,st_leaid,067,Winston County,2024,
AL,101,Albertville City,0100005,st_leaid,101,Albertville City,2024,
AL,102,Alexander City,0100030,st_leaid,102,Alexander City,2024,
AL,103,Alabaster City,0100190,st_leaid,103,Alabaster City,2024,
AL,104,Andalusia City,0100060,st_leaid,104,Andalusia City,2024,
AL,105,Anniston City,0100090,st_leaid,105,Anniston City,2024,
AL,106,Arab City,0100100,st_leaid,106,Arab City,2024,
AL,107,Athens City,0100120,st_leaid,107,Athens City,2024,
AL,109,Attalla City,0100180,st_leaid,109,Attalla City,2024,
AL,110,Auburn City,0100210,st_leaid,110,Auburn City,2024,
AL,113,Bessemer City,0100330,st_leaid,113,Bessemer City,2024,
AL,114,Birmingham City,0100390,st_leaid,114,Birmingham City,2024,
AL,115,Boaz City,0100012,st_leaid,115,Boaz City,2024,
AL,116,Brewton City,0100450,st_leaid,116,Brewton City,2024,
AL,121,Chickasaw City,0100188,st_leaid,121,Chickasaw City,2024,
AL,125,Cullman City,0100990,st_leaid,125,Cullman City,2024,
AL,126,Daleville City,0101080,st_leaid,126,Daleville City,2024,
AL,127,Decatur City,0101170,st_leaid,127,Decatur City,2024,
AL,128,Demopolis City,0101200,st_leaid,128,Demopolis City,2024,
AL,130,Dothan City,0101230,st_leaid,130,Dothan City,2024,
AL,131,Elba City,0101260,st_leaid,131,Elba City,2024,
AL,132,Enterprise City,0101320,st_leaid,132,Enterprise City,2024,
AL,133,Eufaula City,0101410,st_leaid,133,Eufaula City,2024,
AL,137,Fairfield City,0101440,st_leaid,137,Fairfield City,2024,
AL,141,Florence City,0101530,st_leaid,141,Florence City,2024,
AL,143,Fort Payne City,0101560,st_leaid,143,Fort Payne City,2024,
AL,144,Gadsden City,0101620,st_leaid,144,Gadsden City,2024,
AL,146,Geneva City,0101640,st_leaid,146,Geneva City,2024,
AL,152,Gulf Shores City,0100202,st_leaid,152,Gulf Shores City,2024,
AL,154,Guntersville City,0101690,st_leaid,154,Guntersville City,2024,
AL,155,Haleyville City,0101720,st_leaid,155,Haleyville City,2024,
AL,156,Hartselle City,0101730,st_leaid,156,Hartselle City,2024,
AL,157,Homewood City,0101760,st_leaid,157,Homewood City,2024,
AL,158,Hoover City,0100007,st_leaid,158,Hoover City,2024,
AL,159,Huntsville City,0101800,st_leaid,159,Huntsville City,2024,
AL,162,Jacksonville City,0101860,st_leaid,162,Jacksonville City,2024,
AL,163,Jasper City,0101890,st_leaid,163,Jasper City,2024,
AL,165,Lanett City,0101980,st_leaid,165,Lanett City,2024,
AL,167,Leeds City,0100011,st_leaid,167,Leeds City,2024,
AL,168,Linden City,0102130,st_leaid,168,Linden City,2024,
AL,169,Madison City,0100008,st_leaid,169,Madison City,2024,
AL,171,Midfield City,0102350,st_leaid,171,Midfield City,2024,
AL,174,Orange Beach City,0103581,st_leaid,174,Orange Beach City,2024,
AL,175,Mountain Brook City,0102490,st_leaid,175,Mountain Brook City,2024,
AL,176,Muscle Shoals City,0102520,st_leaid,176,Muscle Shoals City,2024,
AL,177,Pelham City,0100194,st_leaid,177,Pelham City,2024,
AL,178,Oneonta City,0102550,st_leaid,178,Oneonta City,2024,
AL,179,Opelika City,0102580,st_leaid,179,Opelika City,2024,
AL,180,Opp City,0102610,st_leaid,180,Opp City,2024,
AL,181,Oxford City,0102635,st_leaid,181,Oxford City,2024,
AL,182,Ozark City,0102640,st_leaid,182,Ozark City,2024,
AL,183,Pell City,0102650,st_leaid,183,Pell City,2024,
AL,184,Phenix City,0102700,st_leaid,184,Phenix City,2024,
AL,185,Piedmont City,0102760,st_leaid,185,Piedmont City,2024,
AL,186,Pike Road City,0100195,st_leaid,186,Pike Road City,2024,
AL,187,Saraland City,0100185,st_leaid,187,Saraland City,2024,
AL,188,Roanoke City,0102850,st_leaid,188,Roanoke City,2024,
AL,189,Russellville City,0102910,st_leaid,189,Russellville City,2024,
AL,190,Scottsboro City,0102940,st_leaid,190,Scottsboro City,2024,
AL,191,Selma City,0102970,st_leaid,191,Selma City,2024,
AL,192,Sheffield City,0103000,st_leaid,192,Sheffield City,2024,
AL,193,Sylacauga City,0103120,st_leaid,193,Sylacauga City,2024,
AL,194,Talladega City,0103150,st_leaid,194,Talladega City,2024,
AL,195,Tallassee City,0103240,st_leaid,195,Tallassee City,2024,
AL,196,Satsuma City,0100189,st_leaid,196,Satsuma City,2024,
AL,197,Tarrant City,0103270,st_leaid,197,Tarrant City,2024,
AL,198,Thomasville City,0103300,st_leaid,198,Thomasville City,2024,
AL,199,Troy City,0103330,st_leaid,199,Troy City,2024,
AL,200,Tuscaloosa City,0103360,st_leaid,200,Tuscaloosa City,2024,
AL,201,Tuscumbia City,0103420,st_leaid,201,Tuscumbia City,2024,
AL,202,Vestavia Hills City,0103430,st_leaid,202,Vestavia Hills City,2024,
AL,204,Winfield City,0103540,st_leaid,204,Winfield City,2024,
AL,205,Trussville City,0100013,st_leaid,205,Trussville City,2024,
AL,800,MAEF Public Charter Schools,0100197,st_leaid,800,MAEF Public Charter Schools,2024,
AL,801,University Charter School,0100199,st_leaid,801,University Charter School,2024,
AL,808,Breakthrough Charter School,0100208,st_leaid,808,Breakthrough Charter School,2024,
AL,810,Magic City Acceptance Academy,0100211,st_leaid,810,Magic City Acceptance Academy,2024,
AL,812,Alabama Aerospace and Aviation,0100213,st_leaid,812,Alabama Aerospace and Aviation,2024,
AL,816,Floretta P. Carson Visual and Performing Arts,0103586,st_leaid,816,Floretta P Carson Visual and Performing Arts,2024,
AZ,1000165,"New Horizon High School, Inc.",0400993,st_leaid,1000165,New Horizon High School Inc. (1000165),2024,
AZ,1000166,A+ Charter Schools,0400998,st_leaid,1000166,A+ Charter Schools (1000166),2024,
AZ,1000291,"Valor Preparatory Academy, LLC",0400988,st_leaid,1000291,Valor Preparatory Academy LLC (1000291),2024,
AZ,1000979,Freedom Preparatory Academy,0400999,st_leaid,1000979,Freedom Preparatory Academy (1000979),2024,
AZ,1001346,American Charter Schools Foundation dba Ridgeview College Preparatory High School,0401005,st_leaid,1001346,American Charter Schools Foundation dba Ridgeview  (1001346),2024,
AZ,1001521,Madison Highland Prep Phoenix,0401011,st_leaid,1001521,Madison Highland Prep Phoenix (1001521),2024,
AZ,1001669,"Co-Learn Club, Inc.",0401012,st_leaid,1001669,Colearn Academy Arizona (1001669),2024,
AZ,1001671,Copper State Academy,0401014,st_leaid,1001671,Copper State Academy (1001671),2024,
AZ,1001687,Cochise County Accommodation School District,0401015,st_leaid,1001687,Cochise County Accommodation School District (1001687),2024,
AZ,1001719,Online School of Arizona,0401013,st_leaid,1001719,Online School of Arizona (1001719),2024,
AZ,1001917,Desert Sage School,0409735,st_leaid,1001917,Desert Sage School (1001917),2024,
AZ,1002013,"Paul Revere Academy, Inc.",0409743,st_leaid,1002013,Paul Revere Academy Inc. (1002013),2024,
AZ,1002029,Premier Prep Online Academy,0409744,st_leaid,1002029,Premier Prep Online Academy (1002029),2024,
AZ,1002080,"Heritage Academy Maricopa, Inc.",0409746,st_leaid,1002080,Heritage Academy Maricopa Inc. (1002080),2024,
AZ,1002101,"Heritage Academy Pointe, Inc.",0409747,st_leaid,1002101,Heritage Academy Pointe Inc. (1002101),2024,
AZ,10386,Coconino County Accommodation School District,0400163,st_leaid,10386,Coconino County Accommodation School District (10386),2024,
AZ,10879,"Mountain Rose Academy, Inc.",0400204,st_leaid,10879,Mountain Rose Academy Inc. (10879),2024,
AZ,10965,Mary Ellen Halvorson Educational Foundation. dba: Tri-City Prep High School,0400211,st_leaid,10965,Mary Ellen Halvorson Educational Foundation. dba:  (10965),2024,
AZ,10970,"Park View School, Inc.",0400209,st_leaid,10970,Park View School Inc. (10970),2024,
AZ,134379,Arizona Agribusiness & Equine Center INC.,0400969,st_leaid,134379,Arizona Agribusiness & Equine Center INC. (134379),2024,
AZ,346763,ASU Preparatory Academy,0400946,st_leaid,346763,ASU Preparatory Academy (346763),2024,
AZ,4153,St Johns Unified District,0408080,st_leaid,4153,St Johns Unified District (4153),2024,
AZ,4154,Window Rock Unified District,0409430,st_leaid,4154,Window Rock Unified District (4154),2024,
AZ,4155,Round Valley Unified District,0407130,st_leaid,4155,Round Valley Unified District (4155),2024,
AZ,4156,Sanders Unified District,0406740,st_leaid,4156,Sanders Unified District (4156),2024,
AZ,4157,Ganado Unified School District,0403290,st_leaid,4157,Ganado Unified School District (4157),2024,
AZ,4158,Chinle Unified District,0401940,st_leaid,4158,Chinle Unified District (4158),2024,
AZ,4159,Red Mesa Unified District,0406870,st_leaid,4159,Red Mesa Unified District (4159),2024,
AZ,4168,Tombstone Unified District,0408600,st_leaid,4168,Tombstone Unified District (4168),2024,
AZ,4169,Bisbee Unified District,0401180,st_leaid,4169,Bisbee Unified District (4169),2024,
AZ,4170,Willcox Unified District,0409250,st_leaid,4170,Willcox Unified District (4170),2024,
AZ,4171,Bowie Unified District,0401330,st_leaid,4171,Bowie Unified District (4171),2024,
AZ,4172,San Simon Unified District,0407430,st_leaid,4172,San Simon Unified District (4172),2024,
AZ,4173,St David Unified District,0408020,st_leaid,4173,St David Unified District (4173),2024,
AZ,4174,Douglas Unified District,0402530,st_leaid,4174,Douglas Unified District (4174),2024,
AZ,4175,Sierra Vista Unified District,0401460,st_leaid,4175,Sierra Vista Unified District (4175),2024,
AZ,4190,Valley Union High School District,0408910,st_leaid,4190,Valley Union High School District (4190),2024,
AZ,4191,"Center for Academic Success, Inc.",0400016,st_leaid,4191,Center for Academic Success Inc. (4191),2024,
AZ,4192,Flagstaff Unified District,0402860,st_leaid,4192,Flagstaff Unified District (4192),2024,
AZ,4193,Williams Unified District,0409310,st_leaid,4193,Williams Unified District (4193),2024,
AZ,4194,Grand Canyon Unified District,0403550,st_leaid,4194,Grand Canyon Unified District (4194),2024,
AZ,4195,Fredonia-Moccasin Unified District,0403080,st_leaid,4195,Fredonia-Moccasin Unified District (4195),2024,
AZ,4196,Page Unified District,0405820,st_leaid,4196,Page Unified School District #8  (4196),2024,
AZ,4197,Tuba City Unified School District #15,0408680,st_leaid,4197,Tuba City Unified School District #15 (4197),2024,
AZ,4202,Flagstaff Arts And Leadership Academy,0400019,st_leaid,4202,Flagstaff Arts And Leadership Academy (4202),2024,
AZ,4204,Northland Preparatory Academy,0400097,st_leaid,4204,Northland Preparatory Academy (4204),2024,
AZ,4208,Globe Unified District,0403500,st_leaid,4208,Globe Unified District (4208),2024,
AZ,4209,Payson Unified District,0406070,st_leaid,4209,Payson Unified District (4209),2024,
AZ,4210,San Carlos Unified District,0406960,st_leaid,4210,San Carlos Unified District (4210),2024,
AZ,4211,Miami Unified District,0405030,st_leaid,4211,Miami Unified District (4211),2024,
AZ,4212,Hayden-Winkelman Unified District,0403730,st_leaid,4212,Hayden-Winkelman Unified District (4212),2024,
AZ,4213,Young Elementary District,0409540,st_leaid,4213,Young Elementary District (4213),2024,
AZ,4216,Liberty High School,0400099,st_leaid,4216,Liberty High School (4216),2024,
AZ,4218,Safford Unified District,0407240,st_leaid,4218,Safford Unified District (4218),2024,
AZ,4219,Thatcher Unified District,0408410,st_leaid,4219,Thatcher Unified District (4219),2024,
AZ,4220,Pima Unified District,0406440,st_leaid,4220,Pima Unified District (4220),2024,
AZ,4221,Fort Thomas Unified District,0403200,st_leaid,4221,Fort Thomas Unified District (4221),2024,
AZ,4228,Duncan Unified District,0402600,st_leaid,4228,Duncan Unified District (4228),2024,
AZ,4230,Morenci Unified District,0405320,st_leaid,4230,Morenci Unified District (4230),2024,
AZ,4231,Blue Elementary District,0401230,st_leaid,4231,Blue Elementary District (4231),2024,
AZ,4234,Maricopa County Regional School District,0403860,st_leaid,4234,Maricopa County Regional School District (4234),2024,
AZ,4235,Mesa Unified District,0404970,st_leaid,4235,Mesa Unified District (4235),2024,
AZ,4236,Wickenburg Unified District,0409190,st_leaid,4236,Wickenburg Unified District (4236),2024,
AZ,4237,Peoria Unified School District,0406250,st_leaid,4237,Peoria Unified School District (4237),2024,
AZ,4238,Gila Bend Unified District,0403310,st_leaid,4238,Gila Bend Unified District (4238),2024,
AZ,4239,Gilbert Unified District,0403400,st_leaid,4239,Gilbert Unified District (4239),2024,
AZ,4240,Scottsdale Unified District,0407570,st_leaid,4240,Scottsdale Unified District (4240),2024,
AZ,4241,Paradise Valley Unified District,0405930,st_leaid,4241,Paradise Valley Unified District (4241),2024,
AZ,4242,Chandler Unified District #80,0401870,st_leaid,4242,Chandler Unified District #80 (4242),2024,
AZ,4243,Dysart Unified District,0402690,st_leaid,4243,Dysart Unified District (4243),2024,
AZ,4244,Cave Creek Unified District,0400001,st_leaid,4244,Cave Creek Unified District (4244),2024,
AZ,4245,Queen Creek Unified District,0406810,st_leaid,4245,Queen Creek Unified District (4245),2024,
AZ,4246,Deer Valley Unified District,0407750,st_leaid,4246,Deer Valley Unified District (4246),2024,
AZ,4247,Fountain Hills Unified District,0403040,st_leaid,4247,Fountain Hills Unified District (4247),2024,
AZ,4248,Higley Unified School District,0403780,st_leaid,4248,Higley Unified School District (4248),2024,
AZ,4252,Nadaburg Unified School District,0405460,st_leaid,4252,Nadaburg Unified School District (4252),2024,
AZ,4254,Saddle Mountain Unified School District,0407170,st_leaid,4254,Saddle Mountain Unified School District (4254),2024,
AZ,4284,Buckeye Union High School District,0401410,st_leaid,4284,Buckeye Union High School District (4284),2024,
AZ,4285,Glendale Union High School District,0403450,st_leaid,4285,Glendale Union High School District (4285),2024,
AZ,4286,Phoenix Union High School District,0406330,st_leaid,4286,Phoenix Union High School District (4286),2024,
AZ,4287,Tempe Union High School District,0408340,st_leaid,4287,Tempe Union High School District (4287),2024,
AZ,4288,Tolleson Union High School District,0408520,st_leaid,4288,Tolleson Union High School District (4288),2024,
AZ,4289,Agua Fria Union High School District,0400450,st_leaid,4289,Agua Fria Union High School District (4289),2024,
AZ,4297,"Accelerated Learning Center, Inc.",0400121,st_leaid,4297,Accelerated Learning Center Inc. (4297),2024,
AZ,4300,CPLC Community Schools,0400144,st_leaid,4300,CPLC Community Schools (4300),2024,
AZ,4301,"Ridgeline Academy, Inc.",0400031,st_leaid,4301,Ridgeline Academy Inc. (4301),2024,
AZ,4314,Maricopa County Community College District dba Gateway Early College High School,0400041,st_leaid,4314,Maricopa County Community College District dba Gat (4314),2024,
AZ,4316,New School For The Arts,0400043,st_leaid,4316,New School For The Arts (4316),2024,
AZ,4320,Salt River Pima-Maricopa  Community Schools,0400047,st_leaid,4320,Salt River Pima-Maricopa  Community Schools (4320),2024,
AZ,4323,"Ombudsman Educational Services, Ltd.,a subsidiary of Educational Services of Ame",0400103,st_leaid,4323,Ombudsman Educational Services Ltd.a subsidiary  (4323),2024,
AZ,4329,"Edkey, Inc. - Sequoia Choice Schools",0400157,st_leaid,4329,Edkey Inc. - Sequoia Choice Schools (4329),2024,
AZ,4331,"Arizona Agribusiness & Equine Center, Inc.",0400106,st_leaid,4331,Arizona Agribusiness & Equine Center Inc. (4331),2024,
AZ,4332,"Genesis Program, Inc.",0400124,st_leaid,4332,Genesis Program Inc. (4332),2024,
AZ,4334,"International Commerce Secondary Schools, Inc.",0400107,st_leaid,4334,International Commerce Secondary Schools Inc. (4334),2024,
AZ,4335,Espiritu Community Development Corp.,0400052,st_leaid,4335,Espiritu Community Development Corp. (4335),2024,
AZ,4336,"Heritage Academy, Inc.",0400053,st_leaid,4336,Heritage Academy Inc. (4336),2024,
AZ,4337,"Humanities and Sciences Academy of the United States, Inc.",0400108,st_leaid,4337,Humanities and Sciences Academy of the United Stat (4337),2024,
AZ,4342,Kaizen Education Foundation dba El Dorado High School,0400149,st_leaid,4342,Kaizen Education Foundation dba El Dorado High Sch (4342),2024,
AZ,4345,Arizona School For The Arts,0400056,st_leaid,4345,Arizona School For The Arts (4345),2024,
AZ,4346,Arizona Center for Youth Resources,0400057,st_leaid,4346,Arizona Center for Youth Resources (4346),2024,
AZ,4348,"American Leadership Academy, Inc.",0400112,st_leaid,4348,American Leadership Academy Inc. (4348),2024,
AZ,4352,"Intelli-School, Inc.",0400061,st_leaid,4352,Intelli-School Inc. (4352),2024,
AZ,4355,Benjamin Franklin Charter School - Queen Creek,0400065,st_leaid,4355,Benjamin Franklin Charter School - Queen Creek (4355),2024,
AZ,4361,Tempe Preparatory Academy,0400070,st_leaid,4361,Tempe Preparatory Academy (4361),2024,
AZ,4368,Lake Havasu Unified District,0404280,st_leaid,4368,Lake Havasu Unified District (4368),2024,
AZ,4369,Peach Springs Unified District,0406120,st_leaid,4369,Peach Springs Unified District (4369),2024,
AZ,4370,Colorado City Unified District,0400021,st_leaid,4370,Colorado City Unified District (4370),2024,
AZ,4374,Littlefield Unified District,0404410,st_leaid,4374,Littlefield Unified District (4374),2024,
AZ,4381,Colorado River Union High School District,0400082,st_leaid,4381,Colorado River Union High School District (4381),2024,
AZ,4383,Kingman Academy Of Learning,0400074,st_leaid,4383,Kingman Academy Of Learning (4383),2024,
AZ,4386,Navajo County Accommodation District #99,0405500,st_leaid,4386,Navajo County Accommodation District #99 (4386),2024,
AZ,4387,Winslow Unified District,0409460,st_leaid,4387,Winslow Unified District (4387),2024,
AZ,4388,Joseph City Unified District,0404010,st_leaid,4388,Joseph City Unified District (4388),2024,
AZ,4389,Holbrook Unified District,0403820,st_leaid,4389,Holbrook Unified District (4389),2024,
AZ,4390,Pinon Unified District,0400023,st_leaid,4390,Pinon Unified District (4390),2024,
AZ,4391,Snowflake Unified District,0407820,st_leaid,4391,Snowflake Unified District (4391),2024,
AZ,4392,Heber-Overgaard Unified District,0400026,st_leaid,4392,Heber-Overgaard Unified District (4392),2024,
AZ,4393,Show Low Unified District,0407700,st_leaid,4393,Show Low Unified District  (4393),2024,
AZ,4394,Whiteriver Unified District,0409160,st_leaid,4394,Whiteriver Unified District (4394),2024,
AZ,4396,Kayenta Unified School District #27,0404060,st_leaid,4396,Kayenta Unified School District #27 (4396),2024,
AZ,4397,Blue Ridge Unified School District No. 32,0406580,st_leaid,4397,Blue Ridge Unified School District No. 32 (4397),2024,
AZ,4400,"Career Development, Inc.",0400077,st_leaid,4400,Career Development Inc. (4400),2024,
AZ,4401,Pima County Accommodation School District,0405360,st_leaid,4401,Pima County Accommodation School District (4401),2024,
AZ,4403,Tucson Unified District,0408800,st_leaid,4403,Tucson Unified District (4403),2024,
AZ,4404,Marana Unified District,0404630,st_leaid,4404,Marana Unified District (4404),2024,
AZ,4405,Flowing Wells Unified District,0403010,st_leaid,4405,Flowing Wells Unified District (4405),2024,
AZ,4406,Amphitheater Unified District,0400680,st_leaid,4406,Amphitheater Unified District (4406),2024,
AZ,4407,Sunnyside Unified District,0408170,st_leaid,4407,Sunnyside Unified District (4407),2024,
AZ,4408,Tanque Verde Unified District,0408280,st_leaid,4408,Tanque Verde Unified District (4408),2024,
AZ,4409,Ajo Unified District,0400520,st_leaid,4409,Ajo Unified District (4409),2024,
AZ,4410,Catalina Foothills Unified District,0401760,st_leaid,4410,Catalina Foothills Unified District (4410),2024,
AZ,4411,Sahuarita Unified District,0407300,st_leaid,4411,Sahuarita Unified District (4411),2024,
AZ,4412,Baboquivari Unified School District #40,0403950,st_leaid,4412,Baboquivari Unified School District #40 (4412),2024,
AZ,4413,Vail Unified District,0408850,st_leaid,4413,Vail Unified District (4413),2024,
AZ,4420,Pima County,0400201,st_leaid,4420,Pima County (4420),2024,
AZ,4421,"Edge School, Inc., The",0400078,st_leaid,4421,Edge School Inc. The (4421),2024,
AZ,4422,Tucson Youth Development/ACE Charter High School,0400079,st_leaid,4422,Tucson Youth Development/ACE Charter High School (4422),2024,
AZ,4425,Presidio School,0400081,st_leaid,4425,Presidio School (4425),2024,
AZ,4431,"Portable Practical Educational Preparation, Inc. (PPEP, Inc.)",0400083,st_leaid,4431,Portable Practical Educational Preparation Inc. ( (4431),2024,
AZ,4435,Mary C O'Brien Accommodation District,0402740,st_leaid,4435,Mary C O'Brien Accommodation District (4435),2024,
AZ,4437,Florence Unified School District,0402920,st_leaid,4437,Florence Unified School District (4437),2024,
AZ,4438,Ray Unified District,0406850,st_leaid,4438,Ray Unified District (4438),2024,
AZ,4439,Mammoth-San Manuel Unified District,0404570,st_leaid,4439,Mammoth-San Manuel Unified District (4439),2024,
AZ,4440,Superior Unified School District,0408230,st_leaid,4440,Superior Unified School District (4440),2024,
AZ,4441,Maricopa Unified School District,0404720,st_leaid,4441,Maricopa Unified School District (4441),2024,
AZ,4442,Coolidge Unified District,0402320,st_leaid,4442,Coolidge Unified District (4442),2024,
AZ,4443,Apache Junction Unified District,0400790,st_leaid,4443,Apache Junction Unified District (4443),2024,
AZ,4445,J O Combs Unified School District,0403990,st_leaid,4445,J O Combs Unified School District (4445),2024,
AZ,4453,Casa Grande Union High School District,0401740,st_leaid,4453,Casa Grande Union High School District (4453),2024,
AZ,4454,Santa Cruz Valley Union High School District,0407530,st_leaid,4454,Santa Cruz Valley Union High School District (4454),2024,
AZ,4457,Nogales Unified District,0405530,st_leaid,4457,Nogales Unified District (4457),2024,
AZ,4458,Santa Cruz Valley Unified District,0407520,st_leaid,4458,Santa Cruz Valley Unified District (4458),2024,
AZ,4462,Patagonia Union High School District,0406030,st_leaid,4462,Patagonia Union High School District (4462),2024,
AZ,4466,Prescott Unified District,0406730,st_leaid,4466,Prescott Unified District (4466),2024,
AZ,4467,Sedona-Oak Creek JUSD #9,0409733,st_leaid,4467,Sedona-Oak Creek JUSD #9 (4467),2024,
AZ,4468,Bagdad Unified District,0401000,st_leaid,4468,Bagdad Unified District (4468),2024,
AZ,4469,Humboldt Unified District,0403870,st_leaid,4469,Humboldt Unified District (4469),2024,
AZ,4470,Camp Verde Unified District,0401600,st_leaid,4470,Camp Verde Unified District (4470),2024,
AZ,4471,Ash Fork Joint Unified District,0400910,st_leaid,4471,Ash Fork Joint Unified District (4471),2024,
AZ,4472,Seligman Unified District,0407630,st_leaid,4472,Seligman Unified District (4472),2024,
AZ,4473,Mayer Unified School District,0404820,st_leaid,4473,Mayer Unified School District (4473),2024,
AZ,4474,Chino Valley Unified District,0400003,st_leaid,4474,Chino Valley Unified District (4474),2024,
AZ,4487,Cottonwood-Oak Creek Elementary District,0402370,st_leaid,4487,Cottonwood-Oak Creek Elementary District (4487),2024,
AZ,4488,Mingus Union High School District,0405070,st_leaid,4488,Mingus Union High School District (4488),2024,
AZ,449790,"AIBT Non-Profit Charter High School, Inc.",0400970,st_leaid,449790,AIBT Non-Profit Charter High School Inc. (449790),2024,
AZ,4506,Antelope Union High School District,0400720,st_leaid,4506,Antelope Union High School District (4506),2024,
AZ,4507,Yuma Union High School District,0409630,st_leaid,4507,Yuma Union High School District (4507),2024,
AZ,4508,Az-Tec High School,0400094,st_leaid,4508,Az-Tec High School (4508),2024,
AZ,4509,"Yuma Private Industry Council, Inc.",0400095,st_leaid,4509,Yuma Private Industry Council Inc. (4509),2024,
AZ,4510,Parker Unified School District,0405980,st_leaid,4510,Parker Unified School District (4510),2024,
AZ,4515,Bicentennial Union High School District,0401160,st_leaid,4515,Bicentennial Union High School District (4515),2024,
AZ,5174,Integrity Education Incorporated,0400650,st_leaid,5174,Integrity Education Incorporated (5174),2024,
AZ,5180,"Paragon Management, Inc.",0400241,st_leaid,5180,Paragon Management Inc. (5180),2024,
