state,sy_end,dataset,manifest_status,mapping_status,file_name,sheet_or_table,district_rows,district_id_col,subgroup_col,subgroup_black,subgroup_hispanic,subgroup_white,subject_col,subject_math,subject_rla,grade_col,hs_grade_or_course,tested_count_col,proficiency_rate_col,proficient_levels,suppression_symbols,notes
CA,2023,hs_reportcard_ca; hs_reportcard_ca_entities,hs_reportcard_ca=archived; hs_reportcard_ca_entities=archived,mapped,hs_reportcards/CA/sb_ca2023_all_csv_v1.zip | hs_reportcards/CA/sb_ca2023entities_csv.zip,caret-delimited text in the zip (sb_caYYYY_all_csv_v1.txt); entity names in the separate entities zip,"School Code = 0000000 and Type ID = 6 (district); Type ID 5 is county, 4 state",County Code + District Code (CDS 2 + 5 digits),Student Group ID,74,78,80,Test ID,2,1,Grade,11 (Smarter Balanced; Test Type B),Students with Scores,Percentage Standard Met and Above,Standard Met + Standard Exceeded,* ; blank,"Two manifest datasets per year (hs_reportcard_ca, hs_reportcard_ca_entities). The 2024 and 2025 layouts add District Name, School Name and count columns; student group codes are the CAASPP research-file codes."
CA,2024,hs_reportcard_ca; hs_reportcard_ca_entities,hs_reportcard_ca=archived; hs_reportcard_ca_entities=archived,mapped,hs_reportcards/CA/sb_ca2024_all_csv_v1.zip | hs_reportcards/CA/sb_ca2024entities_csv.zip,caret-delimited text in the zip (sb_caYYYY_all_csv_v1.txt); entity names in the separate entities zip,"School Code = 0000000 and Type ID = 6 (district); Type ID 5 is county, 4 state",County Code + District Code (CDS 2 + 5 digits),Student Group ID,74,78,80,Test ID,2,1,Grade,11 (Smarter Balanced; Test Type B),Total Students Tested with Scores,Percentage Standard Met and Above,Standard Met + Standard Exceeded,* ; blank,"Two manifest datasets per year (hs_reportcard_ca, hs_reportcard_ca_entities). The 2024 and 2025 layouts add District Name, School Name and count columns; student group codes are the CAASPP research-file codes."
CA,2025,hs_reportcard_ca; hs_reportcard_ca_entities,hs_reportcard_ca=archived; hs_reportcard_ca_entities=archived,mapped,hs_reportcards/CA/sb_ca2025_all_csv_v1.zip | hs_reportcards/CA/sb_ca2025entities_csv.zip,caret-delimited text in the zip (sb_caYYYY_all_csv_v1.txt); entity names in the separate entities zip,"School Code = 0000000 and Type ID = 6 (district); Type ID 5 is county, 4 state",County Code + District Code (CDS 2 + 5 digits),Student Group ID,74,78,80,Test ID,2,1,Grade,11 (Smarter Balanced; Test Type B),Total Students Tested with Scores,Percentage Standard Met and Above,Standard Met + Standard Exceeded,* ; blank,"Two manifest datasets per year (hs_reportcard_ca, hs_reportcard_ca_entities). The 2024 and 2025 layouts add District Name, School Name and count columns; student group codes are the CAASPP research-file codes."
CO,2022,hs_reportcard_co_math; hs_reportcard_co_rla,hs_reportcard_co_math=archived; hs_reportcard_co_rla=archived,mapped,hs_reportcards/CO/2022PSAT-SATMathSchoolandDistrictAchievementResults-DisaggregatedbyGroup.xlsx | hs_reportcards/CO/2022PSAT-SATERWSchoolandDistrictAchievementResults-DisaggregatedbyGroup.xlsx,"sheet Race Ethnicity; header row is the row whose first cell is 'Level' (row 12 in 2024, 17 in 2025)","Level = District (School Code 0000, School Name All Schools)",District Code (CDE 4-digit district code),Race/Ethnicity,Black,Hispanic,White,(file: Math / ERW or RW),2022PSAT-SATMath...xlsx,2022PSAT-SATERW...xlsx (Evidence-Based Reading and Writing),Grade,"SAT Grade 11, PSAT Grade 10, PSAT Grade 9 (pooled as in test_replacement.csv: PSAT grades 9-10 and SAT grade 11)",Number of Valid Scores,Percent Met or Exceeded Expectations (Number Met or Exceeded Expectations for pooling),Met + Exceeded Expectations (Colorado-specific performance levels),- - ; < 16,Counts print with thousands separators. The single-grade rows are pooled with Number Met or Exceeded / Number of Valid Scores; SAT Grade 11 alone is the grade-11-only alternative.
CO,2023,hs_reportcard_co_math; hs_reportcard_co_rla,hs_reportcard_co_math=archived; hs_reportcard_co_rla=archived,mapped,hs_reportcards/CO/2023PSATandSATMathDistrictandSchoolDisaggregatedAchievementResults_0.xlsx | hs_reportcards/CO/2023PSATandSATEvidence-BasedReadingandWritingDistrictandSchoolDisaggregatedAchievementResults.xlsx,"sheet Race Ethnicity; header row is the row whose first cell is 'Level' (row 12 in 2024, 17 in 2025)","Level = District (School Code 0000, School Name All Schools)",District Code (CDE 4-digit district code),Race/Ethnicity,Black,Hispanic,White,(file: Math / ERW or RW),2023PSATandSATMath...xlsx,2023PSATandSATEvidence-BasedReadingandWriting...xlsx,Grade,"SAT Grade 11, PSAT Grade 10, PSAT Grade 9 (pooled as in test_replacement.csv: PSAT grades 9-10 and SAT grade 11)",Number of Valid Scores,Percent Met or Exceeded Expectations (Number Met or Exceeded Expectations for pooling),Met + Exceeded Expectations (Colorado-specific performance levels),- - ; < 16,Counts print with thousands separators. The single-grade rows are pooled with Number Met or Exceeded / Number of Valid Scores; SAT Grade 11 alone is the grade-11-only alternative.
CO,2024,hs_reportcard_co_math; hs_reportcard_co_rla,hs_reportcard_co_math=archived; hs_reportcard_co_rla=archived,mapped,hs_reportcards/CO/2024PSAT_SATMathDisaggregatedResults.xlsx | hs_reportcards/CO/2024PSAT_SATReadingandWritingDisaggregatedResults.xlsx,"sheet Race Ethnicity; header row is the row whose first cell is 'Level' (row 12 in 2024, 17 in 2025)","Level = District (School Code 0000, School Name All Schools)",District Code (CDE 4-digit district code),Race/Ethnicity,Black,Hispanic,White,(file: Math / ERW or RW),2024PSAT_SATMath...xlsx,2024PSAT_SATReadingandWriting...xlsx (digital SAT Suite Reading and Writing),Grade,"SAT Grade 11, PSAT Grade 10, PSAT Grade 9 (pooled as in test_replacement.csv: PSAT grades 9-10 and SAT grade 11)",Number of Valid Scores,Percent Met or Exceeded Expectations (Number Met or Exceeded Expectations for pooling),Met + Exceeded Expectations (Colorado-specific performance levels),- - ; < 16,Counts print with thousands separators. The single-grade rows are pooled with Number Met or Exceeded / Number of Valid Scores; SAT Grade 11 alone is the grade-11-only alternative.
CO,2025,hs_reportcard_co_math; hs_reportcard_co_rla,hs_reportcard_co_math=archived; hs_reportcard_co_rla=archived,mapped,hs_reportcards/CO/2025PSATSATMathDisaggregatedDistrictandSchoolAchievementResults.xlsx | hs_reportcards/CO/2025PSATSATRWDisaggregatedDistrictandSchoolAchievementResults.xlsx,"sheet Race Ethnicity; header row is the row whose first cell is 'Level' (row 12 in 2024, 17 in 2025)","Level = District (School Code 0000, School Name All Schools)",District Code (CDE 4-digit district code),Race/Ethnicity,Black,Hispanic,White,(file: Math / ERW or RW),2025PSATSATMath...xlsx,2025PSATSATRW...xlsx,Grade,"SAT Grade 11, PSAT Grade 10, PSAT Grade 9 (pooled as in test_replacement.csv: PSAT grades 9-10 and SAT grade 11)",Number of Valid Scores,Percent Met or Exceeded Expectations (Number Met or Exceeded Expectations for pooling),Met + Exceeded Expectations (Colorado-specific performance levels),- - ; < 16,2025 adds an All Grades row per district and group; the grade 9 test is the digital PSAT 8/9. Counts print with thousands separators. The single-grade rows are pooled with Number Met or Exceeded / Number of Valid Scores; SAT Grade 11 alone is the grade-11-only alternative.
CT,2022,hs_reportcard_ct,hs_reportcard_ct=archived; hs_reportcard_ct=archived,mapped,hs_reportcards/CT/hs_CT_2022_math.csv | hs_reportcards/CT/hs_CT_2022_ela.csv,"csv export (EdSight, one file per subject); header rows 4-5",every row is a district; District and District Code are printed on the first row of each district only (fill down),"District Code (CSDE 7-digit district code, printed as =""2850013"")",Race/Ethnicity,Black or African American,Hispanic/Latino of any race,White,(file: _math / _ela),hs_CT_2022_math.csv,hs_CT_2022_ela.csv,(none; file title 'CT School Day SAT'),Grade 11 (Connecticut SAT School Day),Total Number with Scored Tests (also Total Number Tested),Level 3&4 Met or Exceeded: %,Level 3 Met + Level 4 Exceeded,* ; N/A,
CT,2023,hs_reportcard_ct,hs_reportcard_ct=archived; hs_reportcard_ct=archived,mapped,hs_reportcards/CT/hs_CT_2023_math.csv | hs_reportcards/CT/hs_CT_2023_ela.csv,"csv export (EdSight, one file per subject); header rows 4-5",every row is a district; District and District Code are printed on the first row of each district only (fill down),"District Code (CSDE 7-digit district code, printed as =""2850013"")",Race/Ethnicity,Black or African American,Hispanic/Latino of any race,White,(file: _math / _ela),hs_CT_2023_math.csv,hs_CT_2023_ela.csv,(none; file title 'CT School Day SAT'),Grade 11 (Connecticut SAT School Day),Total Number with Scored Tests (also Total Number Tested),Level 3&4 Met or Exceeded: %,Level 3 Met + Level 4 Exceeded,* ; N/A,
CT,2024,hs_reportcard_ct,hs_reportcard_ct=archived; hs_reportcard_ct=archived,mapped,hs_reportcards/CT/hs_CT_2024_math.csv | hs_reportcards/CT/hs_CT_2024_ela.csv,"csv export (EdSight, one file per subject); header rows 4-5",every row is a district; District and District Code are printed on the first row of each district only (fill down),"District Code (CSDE 7-digit district code, printed as =""2850013"")",Race/Ethnicity,Black or African American,Hispanic/Latino of any race,White,(file: _math / _ela),hs_CT_2024_math.csv,hs_CT_2024_ela.csv,(none; file title 'CT School Day SAT'),Grade 11 (Connecticut SAT School Day),Total Number with Scored Tests (also Total Number Tested),Level 3&4 Met or Exceeded: %,Level 3 Met + Level 4 Exceeded,* ; N/A,
CT,2025,hs_reportcard_ct,hs_reportcard_ct=archived; hs_reportcard_ct=archived,mapped,hs_reportcards/CT/hs_CT_2025_math.csv | hs_reportcards/CT/hs_CT_2025_ela.csv,"csv export (EdSight, one file per subject); header rows 4-5",every row is a district; District and District Code are printed on the first row of each district only (fill down),"District Code (CSDE 7-digit district code, printed as =""2850013"")",Race/Ethnicity,Black or African American,Hispanic/Latino of any race,White,(file: _math / _ela),hs_CT_2025_math.csv,hs_CT_2025_ela.csv,(none; file title 'CT School Day SAT'),Grade 11 (Connecticut SAT School Day),Total Number with Scored Tests (also Total Number Tested),Level 3&4 Met or Exceeded: %,Level 3 Met + Level 4 Exceeded,* ; N/A,
DC,2022,hs_reportcard_dc,hs_reportcard_dc=archived,mapped,hs_reportcards/DC/2021-22 LEA Level PARCC and MSAA Data.xlsx,sheet prof,Aggregation Level = LEA (every row); Assessment Name = All; Grade of Enrollment = All,LEA Code (OSSE 3-digit LEA code),Subgroup Value (Student group = Race/Ethnicity),Black/African American,Hispanic/Latino,White/Caucasian,Subject,Math,ELA,Tested Grade/Subject,"Algebra I, Geometry, Algebra II (mathematics, pooled with Count and Total Count); English II (English I also printed)",Total Count,Percent (Count = meeting or exceeding),Meeting (Level 4) + Exceeding (Level 5) Expectations,n<10 ; DS,Districts are OSSE LEAs (DCPS and charter LEAs).
DC,2023,hs_reportcard_dc,hs_reportcard_dc=archived,mapped,hs_reportcards/DC/2022-23 LEA Level PARCC and MSAA Data_9_5.xlsx,"sheet Meeting, Exceeding",Aggregation Level = LEA (every row); Assessment Name = All (regular plus MSAA pooled); Grade of Enrollment = All; School Framework = All,LEA Code (OSSE 3-digit LEA code),Student Group Value (Student Group = Race/Ethnicity),Black/African American,Hispanic/Latino of any race,White,Subject,Math,ELA,Tested Grade/Subject,"Algebra I, Geometry, Algebra II (mathematics, pooled with Count and Total Count); English II (English I also printed)",Total Count,Percent (Count = meeting or exceeding),Meeting (Level 4) + Exceeding (Level 5) Expectations,n<10 ; DS ; <1% ; <5% ; <=10% ; >=90% ; >95%,Districts are OSSE LEAs (DCPS and charter LEAs).
DC,2024,hs_reportcard_dc,hs_reportcard_dc=archived,mapped,hs_reportcards/DC/2023-24 LEA Level DCCAPE and MSAA Data 1.15.2025.xlsx,"sheet Meeting, Exceeding",Aggregation Level = LEA (every row); Assessment Name = All (regular plus MSAA pooled); Grade of Enrollment = All; School Framework = All,LEA Code (OSSE 3-digit LEA code),Student Group Value (Student Group = Race/Ethnicity),Black/African American,Hispanic/Latino of any race,White,Subject,Math,ELA,Tested Grade/Subject,"Algebra I, Geometry, Algebra II (mathematics, pooled with Count and Total Count); English II (English I also printed)",Total Count,Percent (Count = meeting or exceeding),Meeting (Level 4) + Exceeding (Level 5) Expectations,n<10 ; DS ; <1% ; <5% ; <=10% ; >=90% ; >95%,"DC CAPE (renamed PARCC, same blueprints). Districts are OSSE LEAs (DCPS and charter LEAs)."
DC,2025,hs_reportcard_dc,hs_reportcard_dc=archived,mapped,hs_reportcards/DC/2024-25 Public File LEA Level DCCAPE and MSAA Data 1.xlsx,"sheet Meeting, Exceeding",Aggregation Level = LEA (every row); Assessment Name = All (only value),LEA Code (OSSE 3-digit LEA code),Student Group Value (Student Group = Race/Ethnicity),Black/African American,Hispanic/Latino of any race,White,Subject,Math,ELA,Enrolled Grade or Course,"HS-Algebra I, HS-Geometry, HS-Algebra II (mathematics, pooled); HS-English II (HS-English I also printed)",Total Count,Percent (Count = meeting or exceeding),Meeting (Level 4) + Exceeding (Level 5) Expectations,n<10 ; DS ; <1% ; <5% ; <=10% ; >=90% ; >95%,DC 2025 is a conditional state-year under design_extension Section 4; the file carries LEA-by-race rows. Districts are OSSE LEAs (DCPS and charter LEAs).
DE,2022,hs_reportcard_de,hs_reportcard_de=archived,mapped,hs_reportcards/DE/Student_Assessment_Performance_SAT_School-Day_2022.csv,csv (long format),schoolcode = 0; gender = All Students; specialdemo = All Students; geography = All Students; assessmentname = SAT School-Day (Spring),districtcode (Delaware district code),race,African American,Hispanic/Latino,White,contentarea,MATH,"ELA (ESSAY rows are the separate essay score, not used)",grade,11th Grade (SAT School Day),tested,pctproficient,proficient as published (SAT School Day Delaware performance levels 3 and 4),"rowstatus = REDACTED with tested, proficient, pctproficient blank","grade also has 9th, 10th, 12th Grade and All Students rows in 2022; use 11th Grade."
DE,2023,hs_reportcard_de,hs_reportcard_de=archived,mapped,hs_reportcards/DE/Student_Assessment_Performance_SAT_School-Day_2023.csv,csv (long format),schoolcode = 0; gender = All Students; specialdemo = All Students; geography = All Students; assessmentname = SAT School-Day (Spring),districtcode (Delaware district code),race,African American,Hispanic/Latino,White,contentarea,MATH,"ELA (ESSAY rows are the separate essay score, not used)",grade,11th Grade (SAT School Day),tested,pctproficient,proficient as published (SAT School Day Delaware performance levels 3 and 4),"rowstatus = REDACTED with tested, proficient, pctproficient blank",
DE,2024,hs_reportcard_de,hs_reportcard_de=archived,mapped,hs_reportcards/DE/Student_Assessment_Performance_SAT_School-Day_2024.csv,csv (long format),schoolcode = 0; gender = All Students; specialdemo = All Students; geography = All Students; assessmentname = SAT School-Day (Spring),districtcode (Delaware district code),race,African American,Hispanic/Latino,White,contentarea,MATH,"ELA (ESSAY rows are the separate essay score, not used)",grade,11th Grade (SAT School Day),tested,pctproficient,proficient as published (SAT School Day Delaware performance levels 3 and 4),"rowstatus = REDACTED with tested, proficient, pctproficient blank",one contentarea value is printed 'Math' (1 row) besides MATH.
DE,2025,hs_reportcard_de,hs_reportcard_de=archived,mapped,hs_reportcards/DE/Student_Assessment_Performance_SAT_School-Day_2025.csv,csv (long format),schoolcode = 0; gender = All Students; specialdemo = All Students; geography = All Students; assessmentname = SAT School-Day (Spring),districtcode (Delaware district code),race,African American,Hispanic/Latino,White,contentarea,MATH,"ELA (ESSAY rows are the separate essay score, not used)",grade,11th Grade (SAT School Day),tested,pctproficient,proficient as published (SAT School Day Delaware performance levels 3 and 4),"rowstatus = REDACTED with tested, proficient, pctproficient blank",
GA,2022,hs_reportcard_ga,hs_reportcard_ga=archived,mapped,hs_reportcards/GA/EOC_2022_Dec08_2022.csv,"csv (Georgia Milestones EOC, GOSA/GaDOE aggregate)",INSTN_NUMBER = ALL (district total); SCHOOL_DISTRCT_CD = ALL is the state row,SCHOOL_DISTRCT_CD (GaDOE 3-digit system code),SUBGROUP_NAME,Black or African American,Hispanic,White,TEST_CMPNT_TYP_NM,Algebra I + Coordinate Algebra (pooled),American Literature and Composition,(none; course-based),"End-of-course, any grade: Algebra I pooled with Coordinate Algebra, American Literature and Composition",NUM_TESTED_CNT,PROFICIENT_PCT + DISTINGUISHED_PCT for a single test; pooled tests: (PROFICIENT_CNT + DISTINGUISHED_CNT) / NUM_TESTED_CNT summed over the tests,Proficient Learner + Distinguished Learner,TFS (too few students),"How a pooled share is formed when a component's counts are TFS is not decided here. Author decision 2026-09-16 (docs/deviations_run2.md, Section 4): Coordinate Algebra is pooled with Algebra I where present (2022-2024), with the counts."
GA,2023,hs_reportcard_ga,hs_reportcard_ga=archived,mapped,hs_reportcards/GA/EOC_2022-23__GA_TST_AGGR_2023-12-15_18_54_21.csv,"csv (Georgia Milestones EOC, GOSA/GaDOE aggregate)",INSTN_NUMBER = ALL (district total); SCHOOL_DISTRCT_CD = ALL is the state row,SCHOOL_DISTRCT_CD (GaDOE 3-digit system code),SUBGROUP_NAME,Black or African American,Hispanic,White,TEST_CMPNT_TYP_NM,Algebra I + Coordinate Algebra (pooled),American Literature and Composition,(none; course-based),"End-of-course, any grade: Algebra I pooled with Coordinate Algebra, American Literature and Composition",NUM_TESTED_CNT,PROFICIENT_PCT + DISTINGUISHED_PCT for a single test; pooled tests: (PROFICIENT_CNT + DISTINGUISHED_CNT) / NUM_TESTED_CNT summed over the tests,Proficient Learner + Distinguished Learner,TFS (too few students),"How a pooled share is formed when a component's counts are TFS is not decided here. Author decision 2026-09-16 (docs/deviations_run2.md, Section 4): Coordinate Algebra is pooled with Algebra I where present (2022-2024), with the counts."
GA,2024,hs_reportcard_ga,hs_reportcard_ga=archived,mapped,hs_reportcards/GA/EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv,"csv (Georgia Milestones EOC, GOSA/GaDOE aggregate)",INSTN_NUMBER = ALL (district total); SCHOOL_DISTRCT_CD = ALL is the state row,SCHOOL_DISTRCT_CD (GaDOE 3-digit system code),SUBGROUP_NAME,Black or African American,Hispanic,White,TEST_CMPNT_TYP_NM,Algebra: Concepts and Connections + Algebra I + Coordinate Algebra (pooled),American Literature and Composition,(none; course-based),"End-of-course, any grade: Algebra: Concepts and Connections pooled with the Algebra I and Coordinate Algebra rows of the year's earlier administrations, American Literature and Composition",NUM_TESTED_CNT,pooled: (PROFICIENT_CNT + DISTINGUISHED_CNT) / NUM_TESTED_CNT summed over Algebra: Concepts and Connections and the Algebra I / Coordinate Algebra rows kept by the 2024 rule,Proficient Learner + Distinguished Learner,TFS (too few students),"ACDMC_LVL = ALL GRADES. The year carries both Algebra: Concepts and Connections and Algebra I / Coordinate Algebra rows (test_replacement.csv: MIXED). Author decision 2026-09-16 (docs/deviations_run2.md, Section 4): in 2024 Coordinate Algebra is pooled with Algebra I only where both tested counts are reported; where one is suppressed (TFS) the single reported course is used; where both are suppressed the district-group mathematics cell is missing. Author decision 2026-09-16 (docs/deviations_run2.md, Section 4): Coordinate Algebra is pooled with Algebra I where present (2022-2024), with the counts."
